FECHA,CLAVE_EST,PARAMETRO,INVALIDA,HORA01,HORA02,HORA03,HORA04,HORA05,HORA06,HORA07,HORA08,HORA09,HORA10,HORA11,HORA12,HORA13,HORA14,HORA15,HORA16,HORA17,HORA18,HORA19,HORA20,HORA21,HORA22,HORA23,HORA24
31/12/10,LDO,SO2,,0.006,0.006,0.005,0.005,0.005,0.006,0.008,0.012,0.008,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.005,0.007,0.009,0.008,0.012,0.012
31/12/10,MIR,CO,,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.
31/12/10,MIR,NO,,0.086,0.083,0.045,0.045,0.034,0.064,0.143,0.236,0.277,0.120,0.039,0.018,0.010,0.002,0.002,0.002,0.002,0.002,0.002,0.004,0.012,0.057,0.163,0.321
31/12/10,MIR,NO2,,0.037,0.033,0.032,0.030,0.029,0.033,0.035,0.039,0.047,0.047,0.038,0.035,0.029,0.015,0.012,0.012,0.012,0.014,0.018,0.024,0.032,0.034,0.040,0.042
31/12/10,MIR,NOX,,0.122,0.116,0.077,0.074,0.063,0.096,0.178,0.275,0.324,0.167,0.077,0.053,0.039,0.016,0.013,0.013,0.014,0.015,0.020,0.027,0.044,0.090,0.202,0.361
31/12/10,MIR,O3,,"0,003","0,003","0,002","0,002","0,002","0,003","0,002","0,002",0.001,0.002,0.017,0.036,0.053,0.066,0.064,0.063,0.055,0.050,0.039,0.025,0.011,0.013,0.002,0.000
31/12/10,MIR,PM10,,132.5,103.6,68.9,78.3,81.2,54.8,113.9,128.9,180.5,158.2,86.4,59.9,55.7,81.1,50.0,39.1,37.1,22.9,17.4,24.2,26.7,77.3,160.3,195.0
31/12/10,MIR,SO2,,0.016,0.014,0.011,0.011,0.012,0.015,0.018,0.025,0.033,0.022,0.015,0.012,0.012,0.006,0.005,0.005,0.005,0.005,0.006,0.006,0.008,0.013,0.025,0.039
31/12/10,OBL,CO,,1.8,1.1,1.4,1.0,0.4,1.5,2.7,2.8,2.8,1.4,0.9,0.6,0.2,0.2,0.1,0.1,0.1,0.2,0.4,1.8,2.9,4.6,7.5,7.2
31/12/10,OBL,NO,,0.067,0.047,0.055,0.041,0.014,0.060,0.109,0.108,0.096,0.041,0.027,0.023,0.010,0.009,0.003,0.003,0.005,0.005,0.008,0.050,0.092,0.146,0.275,0.262
31/12/10,OBL,NO2,,0.032,0.030,0.029,0.028,0.025,0.026,0.027,0.027,0.030,0.025,0.023,0.023,0.021,0.017,0.012,0.008,0.010,0.013,0.025,0.034,0.033,0.034,0.037,0.038
31/12/10,OBL,NOX,,0.099,0.077,0.084,0.068,0.040,0.086,0.135,0.135,0.125,0.066,0.051,0.046,0.032,0.026,0.016,0.011,0.015,0.018,0.033,0.084,0.125,0.180,0.311,0.300
31/12/10,OBL,O3,,0.004,0.000,0.000,0.006,0.010,0.011,0.011,0.010,0.012,0.019,0.031,0.038,0.068,0.075,0.091,0.087,0.074,0.069,0.046,0.018,0.018,0.016,0.019,0.020
31/12/10,OBL,PM10,,83.6,75.0,76.9,96.8,73.1,77.4,95.0,94.5,131.6,116.0,109.3,86.3,83.2,50.5,64.3,39.8,51.3,30.3,43.4,81.6,71.0,114.6,268.6,299.7
31/12/10,OBL,SO2,,0.008,0.006,0.003,0.002,0.001,0.002,0.004,0.004,0.006,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.004,0.007,0.014,0.015
31/12/10,TLA,CO,,3.1,3.1,3.1,3.3,3.7,3.7,4.5,5.7,5.3,3.6,2.7,2.7,2.4,2.4,2.3,2.3,2.4,2.4,2.6,2.9,4.0,6.9,9.6,13.9
31/12/10,TLA,NO,,0.074,0.090,0.074,0.095,0.093,0.104,0.195,0.216,0.178,0.043,0.018,0.008,0.010,0.008,0.009,0.006,0.008,0.008,0.015,0.036,0.090,0.180,0.272,0.434
31/12/10,TLA,NO2,,0.032,0.032,0.029,0.027,0.025,0.025,0.031,0.030,0.036,0.027,0.023,0.021,0.019,0.014,0.012,0.011,0.012,0.015,0.025,0.032,0.037,0.032,0.034,0.040
31/12/10,TLA,NOX,,0.106,0.122,0.103,0.122,0.117,0.129,0.225,0.245,0.213,0.070,0.041,0.030,0.029,0.021,0.021,0.016,0.020,0.023,0.040,0.068,0.126,0.212,0.305,0.471
31/12/10,TLA,O3,,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.008,0.034,0.056,0.057,0.063,0.057,0.056,0.048,0.042,0.021,0.009,0.003,0.003,0.004,0.009
31/12/10,TLA,PM10,,70.9,85.7,66.5,55.0,56.2,50.8,78.5,97.0,104.0,132.6,88.3,135.9,79.7,85.3,101.6,66.3,61.3,43.9,42.3,48.8,78.7,136.0,220.4,338.6
31/12/10,TLA,SO2,,0.005,0.005,0.011,0.005,0.004,0.005,0.011,0.010,0.008,0.009,0.009,0.003,0.003,0.001,0.001,0.001,0.001,0.002,0.001,0.002,0.006,0.008,0.015,0.020
31/12/10,VAL,CO,,2.2,2.2,2.1,2.3,2.3,2.4,2.6,2.9,4.2,3.8,3.3,2.7,2.4,2.1,2.1,2.2,2.1,2.1,2.3,2.2,2.4,2.5,2.3,2.2
31/12/10,VAL,NO,,0.000,0.001,"0,002",0.001,0.001,0.006,0.016,0.044,0.172,0.116,0.071,0.030,0.013,0.003,0.001,0.001,0.001,0.002,0.004,0.005,0.015,0.013,0.007,0.003
31/12/10,VAL,NO2,,0.020,0.014,0.007,0.022,0.023,0.028,0.031,0.034,0.039,0.051,0.054,0.040,0.027,0.010,0.007,0.009,0.009,0.013,0.026,0.031,0.037,0.038,0.035,0.025
31/12/10,VAL,NOX,,0.020,0.013,0.006,0.021,0.022,0.033,0.047,0.078,0.212,0.167,0.126,0.070,0.040,0.013,0.008,0.010,0.010,0.014,0.030,0.036,0.052,0.051,0.043,0.028
31/12/10,VAL,O3,,0.029,0.031,0.046,0.026,0.016,0.012,0.005,0.004,0.006,0.010,0.020,0.034,0.052,0.062,0.064,0.061,0.056,0.050,0.033,0.019,0.011,0.009,0.012,0.028
31/12/10,VAL,PM10,,50.3,35.7,21.0,20.2,17.7,26.5,34.4,44.3,74.6,93.6,106.9,77.5,55.9,51.8,86.9,83.1,51.2,35.5,33.6,41.1,33.9,43.7,35.0,25.7
31/12/10,VAL,SO2,,0.002,0.001,0.001,0.002,0.004,0.005,0.004,0.005,0.011,0.013,0.006,0.004,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.002,0.002,0.002,0.002
