FECHA,CLAVE_EST,PARAMETRO,PROMEDIO
19/01/1996,LDO,CO,1.0333
19/01/1996,MIR,CO,1.1
19/01/1996,OBL,CO,2.0708
19/01/1996,TLA,CO,2.4542
19/01/1996,VAL,CO,2.6958
20/01/1996,AGU,CO,1.7708
20/01/1996,ATM,CO,4.7458
20/01/1996,CEN,CO,2.425
20/01/1996,LDO,CO,1.5583
20/01/1996,MIR,CO,1.3417
20/01/1996,OBL,CO,2.3042
20/01/1996,TLA,CO,2.35
20/01/1996,VAL,CO,1.9875
21/01/1996,AGU,CO,0.9417
21/01/1996,ATM,CO,3.3125
21/01/1996,CEN,CO,2.5875
21/01/1996,LDO,CO,1.4167
21/01/1996,MIR,CO,0.6042
21/01/1996,OBL,CO,2.0417
21/01/1996,TLA,CO,2.3708
21/01/1996,VAL,CO,1.9875
22/01/1996,AGU,CO,1.7542
22/01/1996,ATM,CO,3.5042
22/01/1996,CEN,CO,2.9417
22/01/1996,LDO,CO,2.0292
22/01/1996,MIR,CO,0.6917
22/01/1996,OBL,CO,1.9917
22/01/1996,TLA,CO,3.05
22/01/1996,VAL,CO,2.7083
23/01/1996,AGU,CO,1.5417
23/01/1996,ATM,CO,3.2417
23/01/1996,CEN,CO,2.6667
23/01/1996,LDO,CO,2.3542
23/01/1996,MIR,CO,1.2667
23/01/1996,OBL,CO,1.55
23/01/1996,TLA,CO,3.6875
23/01/1996,VAL,CO,2.275
24/01/1996,AGU,CO,2.0083
24/01/1996,ATM,CO,4.0458
24/01/1996,CEN,CO,3.7208
24/01/1996,LDO,CO,1.7833
24/01/1996,MIR,CO,2.0583
24/01/1996,OBL,CO,2.5458
24/01/1996,TLA,CO,3.575
24/01/1996,VAL,CO,2.95
25/01/1996,AGU,CO,1.3667
25/01/1996,ATM,CO,3.8125
25/01/1996,CEN,CO,3.5042
25/01/1996,LDO,CO,1.7417
25/01/1996,MIR,CO,0.5958
25/01/1996,OBL,CO,1.9542
25/01/1996,TLA,CO,2.6208
25/01/1996,VAL,CO,2.9458
26/01/1996,AGU,CO,2.2167
26/01/1996,ATM,CO,4.6042
26/01/1996,CEN,CO,4.8375
26/01/1996,LDO,CO,2.6917
26/01/1996,MIR,CO,1.7542
26/01/1996,OBL,CO,2.5417
26/01/1996,TLA,CO,4.1042
26/01/1996,VAL,CO,3.1667
27/01/1996,AGU,CO,2.725
27/01/1996,ATM,CO,5.7167
27/01/1996,CEN,CO,5.8917
27/01/1996,LDO,CO,1.6917
27/01/1996,MIR,CO,2.7375
27/01/1996,OBL,CO,3.1125
27/01/1996,TLA,CO,4.125
27/01/1996,VAL,CO,4.2875
28/01/1996,AGU,CO,1.3708
28/01/1996,ATM,CO,3.4375
28/01/1996,CEN,CO,1.0667
28/01/1996,LDO,CO,1.15
28/01/1996,MIR,CO,0.9208
28/01/1996,OBL,CO,1.0708
28/01/1996,TLA,CO,1.6208
28/01/1996,VAL,CO,1.5417
29/01/1996,AGU,CO,1.7917
29/01/1996,ATM,CO,3.425
29/01/1996,CEN,CO,3.2333
29/01/1996,LDO,CO,2.1708
29/01/1996,MIR,CO,1.6708
29/01/1996,OBL,CO,2
29/01/1996,TLA,CO,3.3708
29/01/1996,VAL,CO,3.0167
30/01/1996,AGU,CO,2.4042
30/01/1996,ATM,CO,3.9292
30/01/1996,CEN,CO,3.3292
30/01/1996,LDO,CO,1.8083
30/01/1996,MIR,CO,1.8333
30/01/1996,OBL,CO,2.1125
30/01/1996,TLA,CO,3.5042
30/01/1996,VAL,CO,3.0833
31/01/1996,AGU,CO,2.675
31/01/1996,ATM,CO,3.1083
31/01/1996,CEN,CO,3.0458
31/01/1996,LDO,CO,1.7792
31/01/1996,MIR,CO,1.9125
31/01/1996,OBL,CO,2.1167
31/01/1996,TLA,CO,3.6458
31/01/1996,VAL,CO,3.1292
01/02/1996,AGU,CO,1.1417
01/02/1996,ATM,CO,3.2708
01/02/1996,CEN,CO,3.0875
01/02/1996,LDO,CO,1.3375
01/02/1996,MIR,CO,1.0375
01/02/1996,OBL,CO,2.3292
01/02/1996,TLA,CO,2.2667
01/02/1996,VAL,CO,1.725
02/02/1996,AGU,CO,1.4833
02/02/1996,ATM,CO,3.075
02/02/1996,CEN,CO,2.2292
02/02/1996,LDO,CO,1.9333
02/02/1996,MIR,CO,0.9708
02/02/1996,OBL,CO,1.5125
02/02/1996,TLA,CO,2.8417
02/02/1996,VAL,CO,1.8
03/02/1996,AGU,CO,1.7125
03/02/1996,ATM,CO,3.7417
03/02/1996,CEN,CO,3.6792
03/02/1996,LDO,CO,2.2708
03/02/1996,MIR,CO,2.3375
03/02/1996,OBL,CO,2.9542
03/02/1996,TLA,CO,3.7292
03/02/1996,VAL,CO,2.6
04/02/1996,AGU,CO,1.6
04/02/1996,ATM,CO,3.7833
04/02/1996,CEN,CO,3.7333
04/02/1996,LDO,CO,1.4875
04/02/1996,MIR,CO,2.1875
04/02/1996,OBL,CO,1.9042
04/02/1996,TLA,CO,3.6875
04/02/1996,VAL,CO,2.5833
05/02/1996,AGU,CO,0.675
05/02/1996,ATM,CO,0.8125
05/02/1996,CEN,CO,0.2833
05/02/1996,LDO,CO,0.6
05/02/1996,MIR,CO,0.3583
05/02/1996,OBL,CO,0.4375
05/02/1996,TLA,CO,0.4958
05/02/1996,VAL,CO,0.7667
06/02/1996,AGU,CO,2.1542
06/02/1996,ATM,CO,4.4708
06/02/1996,CEN,CO,2.3333
06/02/1996,LDO,CO,0.7542
06/02/1996,MIR,CO,0.7125
06/02/1996,OBL,CO,1.95
06/02/1996,TLA,CO,1.975
06/02/1996,VAL,CO,3.2125
07/02/1996,AGU,CO,2.3792
07/02/1996,ATM,CO,4.8583
07/02/1996,CEN,CO,2.6083
07/02/1996,LDO,CO,1.0958
07/02/1996,MIR,CO,1.4875
07/02/1996,OBL,CO,2.2
07/02/1996,TLA,CO,2.7125
07/02/1996,VAL,CO,3.7208
08/02/1996,AGU,CO,1.2833
08/02/1996,ATM,CO,2.6708
08/02/1996,CEN,CO,2.0375
08/02/1996,LDO,CO,1.8
08/02/1996,MIR,CO,0.7833
08/02/1996,OBL,CO,1.475
08/02/1996,TLA,CO,1.6583
08/02/1996,VAL,CO,1.9375
09/02/1996,AGU,CO,1.3167
09/02/1996,ATM,CO,2.1583
09/02/1996,CEN,CO,1.4167
09/02/1996,LDO,CO,1.125
09/02/1996,MIR,CO,0.75
09/02/1996,OBL,CO,1.0833
09/02/1996,TLA,CO,1.675
09/02/1996,VAL,CO,1.3125
10/02/1996,AGU,CO,0.8833
10/02/1996,ATM,CO,3.1167
10/02/1996,CEN,CO,2.1292
10/02/1996,LDO,CO,1.6458
10/02/1996,MIR,CO,1.3167
10/02/1996,OBL,CO,1.95
10/02/1996,TLA,CO,2.3417
10/02/1996,VAL,CO,1.7917
11/02/1996,AGU,CO,1.8167
11/02/1996,ATM,CO,3.4667
11/02/1996,CEN,CO,2.2333
11/02/1996,LDO,CO,1.9792
11/02/1996,MIR,CO,1.9583
11/02/1996,OBL,CO,2.2542
11/02/1996,TLA,CO,3.4667
11/02/1996,VAL,CO,3.0083
12/02/1996,AGU,CO,1.5458
12/02/1996,ATM,CO,2.0708
12/02/1996,CEN,CO,1.3958
12/02/1996,LDO,CO,1.7
12/02/1996,MIR,CO,1.4583
12/02/1996,OBL,CO,1.0208
12/02/1996,TLA,CO,2.3708
12/02/1996,VAL,CO,1.6625
13/02/1996,AGU,CO,1.5
13/02/1996,ATM,CO,1.2
13/02/1996,CEN,CO,1.9542
13/02/1996,LDO,CO,1.2583
13/02/1996,MIR,CO,1.2208
13/02/1996,OBL,CO,2.0208
13/02/1996,TLA,CO,2.2167
13/02/1996,VAL,CO,2.0917
14/02/1996,AGU,CO,1.3917
14/02/1996,ATM,CO,2.6
14/02/1996,CEN,CO,2.6167
14/02/1996,LDO,CO,1.7792
14/02/1996,MIR,CO,1.0292
14/02/1996,OBL,CO,1.4667
14/02/1996,TLA,CO,3.0542
14/02/1996,VAL,CO,2.375
15/02/1996,AGU,CO,1.5458
15/02/1996,ATM,CO,2.0833
15/02/1996,CEN,CO,2.025
15/02/1996,LDO,CO,1.8292
15/02/1996,MIR,CO,1.8417
15/02/1996,OBL,CO,1.1667
15/02/1996,TLA,CO,3.225
15/02/1996,VAL,CO,1.85
16/02/1996,AGU,CO,2.8417
16/02/1996,ATM,CO,4.275
16/02/1996,CEN,CO,4.9375
16/02/1996,LDO,CO,2.0292
16/02/1996,MIR,CO,2.3625
16/02/1996,OBL,CO,3.1417
16/02/1996,TLA,CO,4.4417
16/02/1996,VAL,CO,2.825
17/02/1996,AGU,CO,1.425
17/02/1996,ATM,CO,2.875
17/02/1996,CEN,CO,3.0125
17/02/1996,LDO,CO,1.2167
17/02/1996,MIR,CO,1.2625
17/02/1996,OBL,CO,1.6125
17/02/1996,TLA,CO,2.4417
17/02/1996,VAL,CO,2.8167
18/02/1996,AGU,CO,0.5333
18/02/1996,ATM,CO,1.825
18/02/1996,CEN,CO,0.7917
18/02/1996,LDO,CO,1.4792
18/02/1996,MIR,CO,0.6917
18/02/1996,OBL,CO,0.9708
18/02/1996,TLA,CO,1.7792
18/02/1996,VAL,CO,1.1792
19/02/1996,AGU,CO,1.1583
19/02/1996,ATM,CO,3.2458
19/02/1996,CEN,CO,2.3042
19/02/1996,LDO,CO,1.7458
19/02/1996,MIR,CO,0.8542
19/02/1996,OBL,CO,1.5958
19/02/1996,TLA,CO,1.8042
19/02/1996,VAL,CO,2.0708
20/02/1996,AGU,CO,1.8875
20/02/1996,ATM,CO,4.2292
20/02/1996,CEN,CO,3.7125
20/02/1996,LDO,CO,1.325
20/02/1996,MIR,CO,1.3042
20/02/1996,OBL,CO,2.6583
20/02/1996,TLA,CO,2.2833
20/02/1996,VAL,CO,2.7583
21/02/1996,AGU,CO,1.6333
21/02/1996,ATM,CO,4.3875
21/02/1996,CEN,CO,3.675
21/02/1996,LDO,CO,1.6167
21/02/1996,MIR,CO,1.1208
21/02/1996,OBL,CO,2.2875
21/02/1996,TLA,CO,3.25
21/02/1996,VAL,CO,2.825
22/02/1996,AGU,CO,1.2333
22/02/1996,ATM,CO,2.5833
22/02/1996,CEN,CO,2.5125
22/02/1996,LDO,CO,1.8833
22/02/1996,MIR,CO,0.975
22/02/1996,OBL,CO,2.0167
22/02/1996,TLA,CO,2.2042
22/02/1996,VAL,CO,2.2208
23/02/1996,AGU,CO,1.3833
23/02/1996,ATM,CO,2.2542
23/02/1996,CEN,CO,2.3875
23/02/1996,LDO,CO,2.0167
23/02/1996,MIR,CO,1.2417
23/02/1996,OBL,CO,1.2458
23/02/1996,TLA,CO,3.0208
23/02/1996,VAL,CO,2.5083
24/02/1996,AGU,CO,1.3125
24/02/1996,ATM,CO,1.8875
24/02/1996,CEN,CO,1.775
24/02/1996,LDO,CO,1.2875
24/02/1996,MIR,CO,1.075
24/02/1996,OBL,CO,1.45
24/02/1996,TLA,CO,2.1333
24/02/1996,VAL,CO,2.1417
25/02/1996,AGU,CO,0.6042
25/02/1996,ATM,CO,1.0333
25/02/1996,CEN,CO,0.9542
25/02/1996,LDO,CO,1.1208
25/02/1996,MIR,CO,0.4583
25/02/1996,OBL,CO,0.9583
25/02/1996,TLA,CO,1.2375
25/02/1996,VAL,CO,1.1375
26/02/1996,AGU,CO,0.9625
26/02/1996,ATM,CO,1.2792
26/02/1996,CEN,CO,1.1167
26/02/1996,LDO,CO,1.1625
26/02/1996,MIR,CO,0.4375
26/02/1996,OBL,CO,0.7958
26/02/1996,TLA,CO,1.4583
26/02/1996,VAL,CO,1.3375
27/02/1996,AGU,CO,0.9917
27/02/1996,ATM,CO,1.95
27/02/1996,CEN,CO,1.775
27/02/1996,LDO,CO,1.5542
27/02/1996,MIR,CO,0.6667
27/02/1996,OBL,CO,1.3625
27/02/1996,TLA,CO,2.15
27/02/1996,VAL,CO,1.4292
28/02/1996,AGU,CO,1.1667
28/02/1996,ATM,CO,2.1583
28/02/1996,CEN,CO,2.1958
28/02/1996,LDO,CO,1.5333
28/02/1996,MIR,CO,0.7958
28/02/1996,OBL,CO,1.8042
28/02/1996,TLA,CO,1.8667
28/02/1996,VAL,CO,2.4875
29/02/1996,AGU,CO,1.225
29/02/1996,ATM,CO,1.5125
29/02/1996,CEN,CO,1.7292
29/02/1996,LDO,CO,1.35
29/02/1996,MIR,CO,0.875
29/02/1996,OBL,CO,1.05
29/02/1996,TLA,CO,2.125
29/02/1996,VAL,CO,1.6917
01/03/1996,AGU,CO,1.5708
01/03/1996,ATM,CO,1.675
01/03/1996,CEN,CO,1.725
01/03/1996,LDO,CO,1.3958
01/03/1996,MIR,CO,1.0125
01/03/1996,OBL,CO,1.1375
01/03/1996,TLA,CO,1.8042
01/03/1996,VAL,CO,1.4833
02/03/1996,AGU,CO,0.6917
02/03/1996,ATM,CO,1.8458
02/03/1996,CEN,CO,1.9792
02/03/1996,LDO,CO,1.2583
02/03/1996,MIR,CO,0.5417
02/03/1996,OBL,CO,1.4417
02/03/1996,TLA,CO,1.725
02/03/1996,VAL,CO,2.1708
03/03/1996,AGU,CO,0.5167
03/03/1996,ATM,CO,1.3167
03/03/1996,CEN,CO,0.95
03/03/1996,LDO,CO,1.225
03/03/1996,MIR,CO,0.425
03/03/1996,OBL,CO,1.0917
03/03/1996,TLA,CO,1.1458
03/03/1996,VAL,CO,1.2458
04/03/1996,AGU,CO,1.1708
04/03/1996,ATM,CO,1.6375
04/03/1996,CEN,CO,1.4625
04/03/1996,LDO,CO,0.8625
04/03/1996,MIR,CO,0.325
04/03/1996,OBL,CO,1.2083
04/03/1996,TLA,CO,1.6458
04/03/1996,VAL,CO,2.0542
05/03/1996,AGU,CO,1.1875
05/03/1996,ATM,CO,1.525
05/03/1996,CEN,CO,1.8708
05/03/1996,LDO,CO,0
05/03/1996,MIR,CO,1.1667
05/03/1996,OBL,CO,1.2792
05/03/1996,TLA,CO,2.2583
05/03/1996,VAL,CO,2.0083
06/03/1996,AGU,CO,0.9375
06/03/1996,ATM,CO,1.55
06/03/1996,CEN,CO,1.6958
06/03/1996,LDO,CO,0.4042
06/03/1996,MIR,CO,0.675
06/03/1996,OBL,CO,1.1125
06/03/1996,TLA,CO,1.5042
06/03/1996,VAL,CO,2.1083
07/03/1996,AGU,CO,1.1667
07/03/1996,ATM,CO,2.1875
07/03/1996,CEN,CO,2.1542
